station_id,device_network,organisation_name,on_street,location_type,post_code,latitude,longitude,Connector,Connector_Type,Connector_KW,Connector_Type_List,Connector_Type_Merged_KW,Charger_Category
e04f727550ad26170337577bb955a20b,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971194,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
1eebbb55fd7a6ade3787002e5f87ceab,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971094,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
045020ae3a56c185c69e8984ecf61415,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971194,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
9dc69f4a9d78d28dc1ba5697a159c546,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971294,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
ae5e5d97ec37b67fcd007bb1657f879b,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971594,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
8e0c4a20ac8766a81dd8d74bb236e889,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971694,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
c45a49d5ee861cba663d92e76d5036c9,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971394,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
d61bc8a71e83b3799b433cf0b29a36e4,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971494,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
c5d08fc497bfb4d26fa921396d95d458,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971794,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
1a7fd965c4e7dc9a6c6665ca4ba813c2,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971894,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
d8c3b11e26ab89d9712734aac8765677,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971994,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
63515bad9f509b6783009bc4bca0162e,Charge Your Car,Charge Your Car,False,Public car park,NE1 3RF,54.971094,-1.605997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
2bd0503ff12d7a8e6873ba059ea0a2c3,Charge Your Car,Charge Your Car,False,Other,NE32 3JS,54.979703,-1.492109,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
d15fa69abab357f1ff01e3bb5f38e88b,Charge Your Car,Charge Your Car,False,Other,NE32 3JS,54.979603,-1.492109,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
644d47ad4e86f0e50d1904691958f743,Charge Your Car,Charge Your Car,False,Other,NE1 1HE,54.96998,-1.6126,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
